"route_short_name";"direction_id";"trip_headsign";"num_stops";"total_trips";"trips_peak_am";"trips_midday";"trips_peak_pm"
"184";0;"184 Noons Creek";1;50;0.0;6.0;12.0
"184";1;"184 Moody Centre Station";1;52;0.0;6.0;12.0
"185";0;"185 Lansdowne";1;52;0.0;6.0;12.0
"185";1;"185 Coquitlam Central Station";1;50;0.0;6.0;12.0
"186";0;"186 Hampton Park";1;50;0.0;6.0;11.0
"186";1;"186 Coquitlam Central Station";1;52;0.0;6.0;13.0
"187";0;"187 Parkway";1;54;0.0;6.0;10.0
"187";1;"187 Coquitlam Central Station";1;54;0.0;6.0;12.0
"188";0;"188 Port Coquitlam Station";1;53;0.0;6.0;10.0
"188";1;"188 Coquitlam Central Station";1;57;0.0;6.0;10.0
"189";0;"189 Lafarge";1;33;0.0;6.0;6.0
"189";1;"189 Coquitlam Central Station";1;33;0.0;6.0;6.0
"191";0;"191 Princeton";1;36;0.0;6.0;6.0
"191";1;"191 Coquitlam Central Station";1;36;0.0;6.0;6.0
"209";0;"209 Mountain Hwy/To Upper Lynn Valley";1;10;0.0;0.0;0.0
"209";1;"209 Mountain Hwy/To Burrard Station";2;11;0.0;0.0;0.0
"209";1;"209 Mountain Hwy/To Phibbs Exchange";1;3;0.0;0.0;0.0
"210";0;"210 Mountain Hwy Exp/To Phibbs Exchange";1;2;0.0;0.0;1.0
"210";0;"210 Mountain Hwy Exp/To Upper Lynn Valley";2;45;0.0;6.0;11.0
"210";1;"210 Mountain Hwy Exp/To Burrard Station";1;42;0.0;6.0;9.0
"210";1;"210 Mountain Hwy Exp/To Phibbs Exchange";1;1;0.0;0.0;1.0
"211";0;"211 Seymour";2;38;0.0;6.0;7.0
"211";0;"211 Seymour via Dollarton";2;5;0.0;0.0;0.0
"211";1;"211 Burrard Station";1;29;0.0;6.0;4.0
"211";1;"211 Phibbs Exchange";1;17;0.0;0.0;3.0
"212";0;"212 Dollarton Hwy/To Deep Cove";1;34;0.0;6.0;6.0
"212";1;"212 Dollarton Hwy/To Phibbs Exchange";2;37;0.0;6.0;7.0
"214";0;"214 Blueridge";2;37;0.0;6.0;7.0
"214";1;"214 Burrard Station";1;5;0.0;0.0;0.0
"214";1;"214 Phibbs Exchange";1;33;0.0;6.0;7.0
"215";0;"215 Indian River";1;43;0.0;6.0;11.0
"215";1;"215 Phibbs Exchange";1;45;0.0;6.0;12.0
"222";0;"222 Willingdon Express/To Phibbs Exchange";1;55;0.0;0.0;18.0
"222";1;"222 Willingdon Express/To Metrotown Station";1;47;0.0;0.0;15.0
"227";0;"227 Lynn Valley";1;29;0.0;6.0;6.0
"227";1;"227 Phibbs Exchange";1;29;0.0;6.0;6.0
"228";0;"228 Grand Blvd/To Lynn Valley";2;55;0.0;6.0;12.0
"228";1;"228 Grand Blvd/To 15th St";1;2;0.0;0.0;0.0
"228";1;"228 Grand Blvd/To Lonsdale Quay";1;51;0.0;6.0;11.0
"229";0;"229 Lonsdale Ave/To Lynn Valley";1;47;0.0;6.0;12.0
"229";1;"229 Lonsdale Ave/To Lonsdale Quay";1;50;0.0;6.0;12.0
"230";0;"230 Upper Lonsdale";1;48;0.0;6.0;13.0
"230";1;"230 Lonsdale Quay";2;43;0.0;6.0;10.0
"231";0;"231 Lonsdale Quay";1;5;0.0;0.0;4.0
"231";1;"231 Harbourside";1;5;0.0;0.0;1.0
"232";0;"232 Phibbs Exchange";2;35;0.0;7.0;5.0
"232";1;"232 Grouse Mountain";1;34;0.0;6.0;6.0
"236";0;"236 Grouse Mountain";2;39;0.0;6.0;11.0
"236";1;"236 Lonsdale Quay";2;40;0.0;6.0;12.0
"240";0;"240 Lynn Valley";2;94;0.0;13.0;16.0
"240";1;"240 Downtown";2;93;0.0;14.0;18.0
"241";0;"241 Upper Lonsdale";2;18;0.0;0.0;9.0
"241";1;"241 Downtown";1;12;0.0;0.0;0.0
"245";0;"245 Capilano U";1;133;0.0;24.0;24.0
